	"fusion_status"	509	4463	5700	6152	10012	10440	16655	22707	"2574AP"	"12251AP"	"RD FFPE (ERMS)"	"RH28 FFPE (ARMSp)"	2369	2574	6237	6468	10191	12240	12251	13413	15438	24130	"IRS 12"	"IRS 19"	"IRS 44"	"IRS 58"	"IRS 66"	"IRS 73"	"IRS 78"	"IRS 83"	"IRS 93"	"IRS 135"	"IRS 136"
"ABCG1"	"Fusion Positive"	561.8	109.5	130.3	38.5	13.6	45.5	38.3	179.6	21.0	99.3	0.3	31.8	171.1	30.5	50.6	8.7	11.4	36.7	72.8	98.0	26.6	47.3	27.9	31.8	26.4	5.2	28.8	25.4	4.0	12.7	64.4	17.9	11.0
"AF070632"	"Fusion Positive"	80.3	70.2	19.5	12.6	2.5	5.7	9.6	109.0	42.1	64.0	1.8	19.3	94.2	1.1	16.0	6.7	0.9	18.4	62.8	61.2	9.0	6.8	6.6	15.9	4.6	5.2	2.3	13.4	2.7	0.0	32.2	6.0	4.4
"ALK"	"Fusion Positive"	762.4	75.8	78.2	8.4	16.1	31.3	22.3	114.3	63.1	106.8	1.5	66.8	127.6	2.2	18.6	2.9	2.6	18.4	108.5	110.2	2.1	15.8	4.4	21.2	8.6	5.2	4.6	64.3	4.0	6.4	49.3	14.9	6.6
"ASS"	"Fusion Positive"	1484.7	946.3	143.3	151.7	68.8	59.7	35.1	1204.1	0.0	1594.7	296.8	1129.4	865.7	25.1	71.9	34.6	7.9	36.7	1677.3	808.3	61.1	302.0	2.2	42.5	24.1	20.8	19.6	415.0	39.6	4.6	49.3	41.7	28.6
"AW819521"	"Fusion Positive"	401.3	67.4	39.1	22.4	5.1	14.2	38.3	190.3	126.2	82.8	0.9	24.0	104.3	4.4	24.0	5.8	7.9	0.0	80.0	24.5	14.9	6.8	8.2	42.5	1.1	5.2	4.6	20.1	3.4	2.7	43.6	8.9	13.2
"C11orf17"	"Fusion Negative"	80.3	56.2	195.4	105.6	127.4	82.4	194.6	95.9	462.8	55.5	133.5	60.5	61.4	77.3	74.6	70.2	135.4	73.4	43.7	73.5	90.4	69.9	26.3	15.9	10.9	28.6	25.3	5.4	28.2	15.5	17.1	35.8	37.4
"CAD"	"Fusion Negative"	80.3	157.2	195.4	286.0	265.9	397.9	341.4	138.9	147.3	183.0	184.1	610.1	119.8	152.5	207.7	131.7	154.8	330.5	158.7	281.7	205.2	105.9	94.2	42.5	48.9	78.1	177.4	125.8	99.2	71.9	51.2	71.5	83.5
"CNR1"	"Fusion Positive"	561.8	502.6	423.4	25.9	15.3	25.6	165.9	1175.0	315.5	96.9	1.2	66.8	196.2	17.4	26.6	5.8	4.4	73.4	103.8	122.5	7.4	42.8	0.5	5.3	0.0	2.6	4.6	33.5	0.7	0.0	79.6	11.9	6.6
"CPSF1"	"Fusion Negative"	160.5	70.2	149.8	466.4	164.8	218.9	268.0	130.5	42.1	139.7	64.1	97.6	159.2	168.8	130.5	149.0	149.5	91.8	129.6	85.7	170.1	49.6	88.7	42.5	29.3	49.5	96.7	45.5	118.0	79.2	32.2	23.8	39.6
"DAPK1"	"Fusion Positive"	682.2	275.2	306.2	218.2	46.7	145.0	217.0	452.0	147.3	204.6	52.1	310.0	378.0	43.6	77.2	83.6	34.3	36.7	131.0	208.2	108.5	182.5	62.4	5.3	2.9	31.2	73.7	140.6	22.1	14.6	147.8	20.9	68.1
"DDEF1"	"Fusion Negative"	200.6	92.7	202.0	527.9	345.8	315.5	373.3	123.6	21.0	124.7	93.6	65.8	177.1	201.5	119.9	114.4	183.8	165.2	116.4	147.0	194.6	99.2	78.9	47.8	31.6	67.7	100.2	58.9	105.2	89.2	51.2	74.5	63.7
"EIF4EBP1"	"Fusion Negative"	280.9	154.4	175.9	492.3	614.2	383.7	494.5	103.6	294.5	115.7	154.0	104.4	92.4	148.1	135.8	132.7	236.5	183.6	148.2	61.2	128.1	108.2	96.4	53.1	23.0	124.9	182.0	56.2	178.3	142.0	24.6	56.6	79.1
"ELA2A"	"Fusion Positive"	722.3	339.8	13.0	27.3	2.5	14.2	12.8	671.5	42.1	151.0	1.2	16.2	277.2	3.3	42.6	8.7	3.5	18.4	176.6	220.5	3.7	117.2	3.8	10.6	0.6	7.8	0.0	13.4	1.3	0.9	43.6	6.0	4.4
"FBN2"	"Fusion Negative"	0.0	25.3	91.2	898.5	1498.6	756.1	347.8	16.1	21.0	10.3	303.6	97.6	14.9	227.6	61.3	15.4	60.7	110.2	9.9	24.5	16.5	15.8	23.0	238.8	201.2	244.7	358.2	73.6	341.9	97.4	22.7	104.3	98.9
"FLJ10159"	"Fusion Negative"	40.1	30.9	110.7	121.7	138.5	139.3	95.7	20.7	21.0	26.3	17.6	0.5	55.4	78.4	42.6	153.8	63.3	91.8	23.1	12.2	39.9	18.0	19.2	5.3	2.9	41.6	55.3	8.0	10.1	15.5	9.5	11.9	28.6
"FLJ10357"	"Fusion Negative"	120.4	39.3	286.6	201.4	150.4	338.2	261.6	119.0	210.4	33.9	37.2	103.3	122.8	86.0	122.5	43.3	45.7	73.4	52.3	147.0	73.9	42.8	92.0	37.2	44.8	140.6	195.8	41.5	170.9	84.7	41.7	89.4	149.4
"FZD7"	"Fusion Negative"	120.4	11.2	136.8	128.7	44.2	93.8	430.7	33.8	189.3	13.6	124.5	17.7	118.0	228.7	87.9	92.3	289.3	202.0	15.2	36.7	63.8	36.1	52.0	31.8	25.9	179.6	255.7	29.4	73.7	59.2	24.6	38.7	87.9
"G6PD"	"Housekeeping Gene"	160.5	78.6	117.3	90.2	122.3	102.3	118.1	82.9	147.3	67.7	154.3	97.1	147.3	130.7	135.8	114.4	126.6	183.6	72.1	122.5	143.0	148.7	32.9	26.5	20.1	15.6	21.9	18.7	26.8	20.9	17.1	20.9	35.2
"GALNT2"	"Fusion Negative"	120.4	103.9	273.6	357.3	463.9	292.8	140.4	138.9	294.5	111.0	178.2	181.6	149.6	305.0	285.0	112.5	262.0	403.9	119.1	98.0	211.1	324.5	47.1	47.8	42.0	46.9	89.8	87.0	141.4	92.0	60.6	44.7	107.7
"GPX7"	"Fusion Negative"	40.1	73.0	338.8	226.6	297.3	309.8	181.9	79.8	21.0	138.3	75.7	38.6	103.7	169.9	82.6	60.6	89.7	18.4	125.7	171.5	124.4	49.6	21.9	31.8	15.5	119.7	72.6	70.9	42.9	69.2	62.5	92.4	59.3
"HMGA2"	"Fusion Negative"	0.0	0.0	6.5	642.6	574.3	1407.0	1030.6	11.5	147.3	26.8	842.0	124.2	2.4	526.1	431.5	46.2	329.7	73.4	26.5	85.7	119.6	22.5	94.2	95.5	143.2	65.1	649.6	60.2	566.4	416.1	11.4	71.5	105.5
"HOXC6"	"Fusion Negative"	40.1	14.0	58.6	158.0	106.2	201.8	268.0	11.5	21.0	8.0	22.6	8.4	39.9	45.7	74.6	31.7	71.2	165.2	17.2	36.7	49.4	0.0	50.9	37.2	2.9	119.7	104.8	16.1	40.2	33.7	19.0	62.6	79.1
"HPRT1"	"Housekeeping Gene"	80.3	89.9	162.9	92.3	92.6	54.0	47.9	113.6	63.1	126.1	183.2	88.7	149.6	76.2	109.2	86.5	65.1	73.4	115.7	134.7	150.5	94.7	6.0	6.9	10.3	7.8	5.8	6.7	4.7	5.5	13.3	17.9	6.6
"JARID2"	"Fusion Positive"	601.9	213.4	182.4	128.7	83.3	145.0	70.2	300.1	189.3	397.5	68.5	229.6	180.1	116.5	146.5	73.1	61.5	110.2	312.2	196.0	58.0	72.1	33.4	37.2	25.3	39.0	116.3	107.1	38.9	28.2	66.3	59.6	41.7
"KIAA0523"	"Fusion Positive"	441.4	207.8	149.8	41.3	11.9	19.9	111.7	433.6	189.3	210.7	14.3	149.3	233.1	30.5	29.3	18.3	17.6	0.0	222.9	232.7	35.1	24.8	22.5	15.9	24.7	18.2	17.3	68.3	9.4	12.7	58.7	26.8	24.2
"KIAA1018"	"Fusion Positive"	40.1	28.1	26.1	37.1	21.2	22.7	9.6	61.4	21.0	60.7	16.7	82.5	41.7	46.8	32.0	21.2	22.9	18.4	52.9	0.0	22.9	36.1	21.4	21.2	36.2	20.8	40.3	45.5	22.1	16.4	32.2	17.9	24.2
"KIAA1026"	"Fusion Negative"	40.1	8.4	19.5	102.1	28.0	110.9	41.5	10.7	126.2	5.2	7.4	2.1	19.1	57.7	71.9	23.1	86.2	128.5	3.3	36.7	21.3	27.0	21.9	5.3	3.4	36.4	58.7	2.7	16.8	33.7	37.9	44.7	26.4
"LAPTM4B"	"Fusion Negative"	561.8	317.3	449.5	974.0	502.1	986.3	2252.6	205.7	273.5	184.4	138.6	134.7	236.7	604.5	218.4	587.5	976.9	624.3	166.7	183.7	809.2	191.6	121.6	95.5	89.7	335.8	180.8	148.6	160.9	217.6	49.3	107.3	239.5
"LDHA"	"Housekeeping Gene"	1565.0	3305.0	1433.2	618.8	2883.4	2504.1	2006.9	1910.9	11086.3	1423.5	2611.0	1661.2	956.3	2273.0	3023.0	1918.1	4581.9	8574.6	1539.7	698.1	2690.7	4683.0	243.2	541.4	428.3	380.1	410.0	65.6	593.9	1231.9	216.0	426.2	342.8
"LOC653127"	"Fusion Positive"	40.1	19.7	0.0	11.2	3.4	5.7	12.8	24.6	42.1	6.1	1.2	3.1	11.9	4.4	8.0	1.0	0.9	18.4	8.6	36.7	1.6	11.3	1.1	21.2	1.7	2.6	1.2	20.1	0.7	0.9	7.6	11.9	0.0
"LOC653754"	"Fusion Negative"	40.1	33.7	58.6	239.8	124.0	227.4	143.6	26.9	21.0	10.3	65.8	23.0	41.7	201.5	40.0	27.9	75.6	73.4	9.9	36.7	106.3	24.8	55.9	0.0	9.8	78.1	107.1	33.5	57.0	42.8	20.8	29.8	19.8
"MAGI1"	"Fusion Positive"	2006.4	505.4	221.5	114.7	131.7	216.0	201.0	658.5	568.0	210.7	8.6	93.9	183.6	90.4	167.8	50.0	45.7	330.5	248.7	306.2	34.6	288.5	26.8	95.5	21.8	85.9	111.7	148.6	79.1	122.9	155.4	17.9	118.7
"MFAP2"	"Fusion Negative"	120.4	16.8	325.7	434.2	699.2	1162.5	366.9	158.1	252.4	223.0	203.2	37.1	121.6	648.0	894.9	285.6	500.3	91.8	187.2	49.0	208.9	329.0	88.7	47.8	31.6	127.6	367.4	10.7	143.5	167.5	49.3	59.6	52.7
"NELL1"	"Fusion Positive"	160.5	39.3	45.6	16.1	2.5	19.9	12.8	63.7	21.0	75.3	0.3	24.5	100.2	2.2	16.0	2.9	10.6	18.4	107.8	49.0	12.8	6.8	2.7	5.3	1.7	0.0	0.0	0.0	0.0	0.0	20.8	6.0	0.0
"NRCAM"	"Fusion Positive"	80.3	59.0	52.1	106.3	4.2	11.4	31.9	208.0	126.2	98.3	6.0	13.6	70.4	4.4	2.7	16.3	2.6	0.0	84.7	24.5	13.8	18.0	12.0	26.5	2.3	52.1	4.6	9.4	3.4	3.6	30.3	14.9	6.6
"NRN1"	"Fusion Positive"	842.7	1241.1	358.3	25.2	129.1	108.0	130.8	542.6	399.7	550.9	4.2	99.7	590.8	187.3	82.6	200.9	29.0	183.6	529.8	489.9	83.5	72.1	28.5	15.9	10.3	98.9	420.4	120.5	75.7	66.5	132.7	26.8	30.8
"PAFAH1B3"	"Fusion Negative"	40.1	22.5	19.5	74.1	36.5	62.5	60.6	26.1	0.0	28.7	75.7	13.6	17.3	40.3	24.0	22.1	33.4	18.4	28.4	0.0	15.4	2.3	15.3	21.2	16.1	18.2	24.2	21.4	52.3	23.7	11.4	17.9	19.8
"PGBD5"	"Fusion Positive"	200.6	61.8	26.1	41.3	2.5	11.4	19.1	86.0	84.1	55.0	1.8	59.0	32.2	9.8	13.3	1.9	3.5	0.0	50.3	12.2	8.0	2.3	3.3	0.0	0.0	2.6	8.1	6.7	5.4	6.4	15.2	8.9	6.6
"PGRMC1"	"Fusion Negative"	0.0	19.7	110.7	75.5	96.8	287.1	95.7	33.8	63.1	28.2	56.3	32.4	69.8	173.2	66.6	67.3	110.8	110.2	34.4	73.5	62.7	74.4	31.2	69.0	21.8	33.8	80.6	30.8	47.6	51.0	24.6	17.9	39.6
"PIPOX"	"Fusion Positive"	80.3	53.4	19.5	16.8	6.8	8.5	19.1	295.5	84.1	121.8	0.9	230.7	51.9	3.3	10.7	6.7	1.8	0.0	105.2	171.5	2.1	42.8	4.4	0.0	1.1	2.6	1.2	46.9	0.7	3.6	26.5	6.0	2.2
"PTBP2"	"Fusion Positive"	481.5	123.6	117.3	121.0	71.4	102.3	169.1	202.6	652.1	176.9	115.6	311.1	202.7	165.5	223.7	147.1	105.5	679.4	191.1	85.7	60.1	187.0	34.5	15.9	27.6	36.4	81.8	49.5	48.9	61.0	45.5	53.6	65.9
"RBM13"	"Fusion Negative"	80.3	87.0	241.0	243.3	101.1	247.3	437.1	119.7	546.9	83.7	77.2	49.6	73.3	88.2	71.9	46.2	116.9	36.7	85.3	122.5	76.6	42.8	37.2	10.6	5.7	31.2	36.9	9.4	40.2	23.7	13.3	14.9	15.4
"RPL19"	"Housekeeping Gene"	9269.4	11495.9	7446.1	10536.1	6647.8	7381.6	9039.1	9572.4	10896.9	9276.6	3113.1	7564.0	9606.7	10964.3	3944.5	10641.6	9375.7	11071.7	7813.1	11610.5	4675.4	7369.3	2695.1	2011.5	1877.1	3527.2	4928.3	6884.3	2805.4	2663.2	2675.8	1889.5	3023.4
"RPLP0"	"Housekeeping Gene"	2849.0	4049.1	3218.2	13089.7	4063.4	5886.5	9332.6	4254.0	904.6	5593.2	2336.3	2192.5	3051.4	4157.2	2591.5	3012.3	4038.5	1817.7	5797.8	5217.4	4567.5	2168.0	3599.9	2786.4	3145.4	2681.2	3161.5	6312.7	3298.8	2170.6	1995.4	1657.0	1874.3
"SAE1"	"Fusion Negative"	80.3	14.0	6.5	44.1	12.7	34.1	12.8	10.0	0.0	10.8	36.1	25.1	17.3	22.9	21.3	1.0	19.3	18.4	11.9	49.0	4.3	6.8	4.9	0.0	4.0	5.2	2.3	9.4	12.7	6.4	0.0	17.9	4.4
"SPRED2"	"Fusion Negative"	40.1	30.9	202.0	283.2	200.5	258.7	178.7	64.5	0.0	44.2	213.3	101.3	105.5	140.5	93.2	33.7	110.8	128.5	35.7	122.5	82.9	40.6	53.7	79.6	85.7	49.5	68.0	49.5	85.8	82.9	43.6	47.7	169.2
"TAGLN3"	"Fusion Positive"	160.5	92.7	19.5	40.6	7.6	11.4	70.2	178.0	84.1	171.7	0.9	193.6	144.3	15.2	45.3	9.6	14.9	36.7	142.2	24.5	27.6	33.8	32.3	0.0	0.0	5.2	10.4	12.0	6.0	12.7	0.0	3.0	57.1
"TBP"	"Housekeeping Gene"	80.3	39.3	65.1	60.1	48.4	71.1	44.7	58.3	42.1	67.7	79.6	180.1	69.2	41.4	93.2	70.2	29.9	18.4	73.4	61.2	34.6	40.6	31.8	26.5	28.2	33.8	18.4	41.5	21.5	18.2	56.9	29.8	33.0
"TFAP2B"	"Fusion Positive"	280.9	160.1	58.6	25.2	6.8	22.7	89.3	284.0	252.4	318.9	0.0	48.0	257.0	2.2	32.0	3.8	4.4	55.1	294.3	61.2	3.7	18.0	0.5	15.9	3.4	5.2	5.8	97.7	1.3	2.7	7.6	17.9	0.0
"TNRC9"	"Fusion Positive"	280.9	98.3	6.5	20.3	4.2	5.7	41.5	43.7	21.0	62.1	0.9	13.0	24.4	3.3	8.0	8.7	9.7	0.0	61.5	0.0	7.4	2.3	0.5	21.2	2.3	2.6	8.1	34.8	1.3	0.9	19.0	6.0	6.6
"TRPS1"	"Fusion Negative"	0.0	5.6	32.6	141.2	101.1	181.9	38.3	18.4	21.0	5.2	45.9	14.6	20.9	66.4	29.3	17.3	33.4	55.1	5.3	12.2	23.4	18.0	24.6	31.8	11.5	46.9	24.2	17.4	83.8	25.5	17.1	32.8	15.4
"TULP4"	"Fusion Positive"	321.0	165.7	143.3	88.8	51.8	73.9	102.1	306.2	63.1	219.7	69.7	85.1	240.9	67.5	61.3	58.6	103.8	18.4	190.5	122.5	61.7	49.6	72.8	37.2	25.9	28.6	41.5	60.2	34.9	37.3	58.7	29.8	43.9
"ZIC1"	"Fusion Negative"	0.0	14.0	32.6	41.3	28.9	68.2	162.7	43.0	378.7	15.1	12.5	21.4	8.9	33.8	50.6	13.5	26.4	91.8	9.9	49.0	9.6	6.8	9.3	15.9	2.9	10.4	29.9	9.4	9.4	11.8	3.8	29.8	26.4
